seed,final_coverage,monte_carlo_coverage,num_viewpoints,computation_time,convergence_point,coverage_auc,efficiency,time_efficiency
72,0.9929,0.9689,11,0.5415434837341309,13,7.10795,0.09026363636363637,1.8334631102078984
73,0.994,0.9766,10,0.49443650245666504,13,6.151700000000001,0.0994,2.010369370103534
74,0.9902,0.9729,11,0.5401613712310791,13,7.013299999999999,0.09001818181818182,1.8331558914389603
75,0.9944,0.9749,12,0.5844650268554688,14,8.0727,0.08286666666666666,1.7013849491560822
76,0.9946,0.977,12,0.59283447265625,14,8.0713,0.08288333333333334,1.6777027077113147
77,0.9961,0.979,11,0.5526645183563232,13,7.1206499999999995,0.09055454545454546,1.8023592376845468
78,0.9936,0.9809,12,0.5728132724761963,14,7.993000000000001,0.0828,1.7345966787829448
79,0.9943,0.9808,12,0.5789029598236084,14,7.988049999999999,0.08285833333333333,1.7175590193958639
8,0.9958,0.9826,11,0.5211505889892578,13,7.0470999999999995,0.09052727272727273,1.9107720897548979
80,0.9941,0.9742,11,0.5397183895111084,13,7.113449999999999,0.09037272727272727,1.8418864713883156
81,0.9929,0.9751,11,0.5359036922454834,13,7.045849999999999,0.09026363636363637,1.8527582742333086
82,0.996,0.9795,12,0.5795092582702637,14,8.040799999999999,0.083,1.718695578691685
83,0.9966,0.9828,12,0.6077804565429688,14,8.075099999999999,0.08305,1.6397368314022822
